timestamp,symbol,structure,spot_price,front_dte,back_dte,front_expiry,back_expiry,atm_strike,atm_delta,atm_ff,atm_iv_front,atm_iv_back,atm_fwd_iv,atm_iv_source_front,atm_iv_source_back,call_strike,put_strike,call_delta,put_delta,call_ff,put_ff,min_ff,combined_ff,call_front_iv,call_back_iv,call_fwd_iv,put_front_iv,put_back_iv,put_fwd_iv,iv_source_call_front,iv_source_call_back,iv_source_put_front,iv_source_put_back,earnings_conflict,earnings_date,avg_options_volume_20d,earnings_source,skip_reason
2025-10-20T08:05:41.043422+00:00,MRK,double,84.60,60,88,2025-12-19,2026-01-16,,,,,,,,,90.00,80.00,0.3358,-0.311,0.220854,0.246021,0.220854,0.233437,0.311675,0.294906,0.255292,0.321033,0.30231,0.257647,greeks,greeks,greeks,greeks,,2025-10-30,11853.26,skipped,
2025-10-20T08:05:41.043422+00:00,HAL,double,22.15,32,88,2025-11-21,2026-01-16,,,,,,,,,23.50,21.00,0.3599,-0.3206,0.232419,0.217499,0.217499,0.224959,0.463128,0.409707,0.375787,0.447101,0.398132,0.367229,greeks,greeks,greeks,greeks,,2025-10-21,12858.47,skipped,
2025-10-20T08:05:41.043422+00:00,FCX,double,41.77,32,60,2025-11-21,2025-12-19,,,,,,,,,44.50,40.00,0.3571,-0.3511,0.216581,0.238547,0.216581,0.227564,0.483618,0.445515,0.397522,0.463127,0.423844,0.373928,greeks,greeks,greeks,greeks,,2025-10-23,15569.74,skipped,
2025-10-20T08:05:41.043422+00:00,AMZN,double,214.60,60,88,2025-12-19,2026-01-16,,,,,,,,,230.00,205.00,0.3645,-0.3545,0.213847,0.362383,0.213847,0.288115,0.399242,0.378283,0.328906,0.377269,0.348488,0.276918,greeks,greeks,greeks,greeks,,2025-10-30,76779.90,skipped,
2025-10-20T08:05:41.043422+00:00,MRK,double,84.60,32,88,2025-11-21,2026-01-16,,,,,,,,,89.00,82.00,0.3349,-0.3593,0.390087,0.202621,0.202621,0.296354,0.354267,0.294906,0.254852,0.337228,0.30231,0.280411,greeks,greeks,greeks,greeks,,2025-10-30,11853.26,skipped,
2025-10-20T08:05:41.043422+00:00,NVDA,double,184.48,32,88,2025-11-21,2026-01-16,,,,,,,,,197.50,175.00,0.3493,-0.3353,0.200892,0.332509,0.200892,0.2667,0.493834,0.443049,0.411223,0.507688,0.431396,0.381002,greeks,greeks,greeks,greeks,,2025-11-19,311158.79,skipped,
2025-10-20T08:05:41.043422+00:00,AAPL,double,253.42,32,88,2025-11-21,2026-01-16,,,,,,,,,262.50,245.00,0.3658,-0.3339,0.200509,0.377472,0.200509,0.288991,0.298522,0.267869,0.248663,0.300246,0.251028,0.217969,greeks,greeks,greeks,greeks,,2025-10-30,51227.53,skipped,
2025-10-20T08:05:41.043422+00:00,AES,atm-call,14.73,60,88,2025-12-19,2026-01-16,15.00,0.4978,5.174573,0.447239,0.371549,0.072432,greeks,greeks,,,,,,,,,0.454912,0.376163,,0.439567,0.366934,,greeks,greeks,greeks,greeks,,2025-11-04,19920.68,skipped,
2025-10-20T08:05:41.043422+00:00,AES,atm-call,14.73,32,88,2025-11-21,2026-01-16,15.00,0.4794,0.865697,0.502618,0.371549,0.2694,greeks,greeks,,,,,,,,,0.488162,0.376163,,0.517074,0.366934,,greeks,greeks,greeks,greeks,,2025-11-04,19920.68,skipped,
2025-10-20T08:05:41.043422+00:00,LYB,atm-call,46.19,32,60,2025-11-21,2025-12-19,45.00,0.5932,0.74109,0.56974,0.472327,0.327231,greeks,greeks,,,,,,,,,0.574253,0.451244,,0.565226,0.493409,,greeks,greeks,greeks,greeks,,2025-10-31,14914.12,skipped,
2025-10-20T08:05:41.043422+00:00,CMG,atm-call,42.00,32,60,2025-11-21,2025-12-19,42.50,0.5037,0.646003,0.523898,0.440068,0.318285,greeks,greeks,,,,,,,,,0.54719,0.461813,,0.500606,0.418322,,greeks,greeks,greeks,greeks,,2025-10-29,25916.94,skipped,
2025-10-20T08:05:41.043422+00:00,CMG,atm-call,42.00,32,88,2025-11-21,2026-01-16,42.50,0.5037,0.519735,0.523898,0.418846,0.34473,greeks,greeks,,,,,,,,,0.54719,0.440688,,0.500606,0.397004,,greeks,greeks,greeks,greeks,,2025-10-29,25916.94,skipped,
2025-10-20T08:05:41.043422+00:00,KVUE,atm-call,15.34,32,88,2025-11-21,2026-01-16,16.00,0.4755,0.508762,0.803008,0.644005,0.53223,greeks,greeks,,,,,,,,,0.78818,0.644202,,0.817835,0.643808,,greeks,greeks,greeks,greeks,,2025-11-06,135978.29,skipped,
2025-10-20T08:05:41.043422+00:00,DOC,atm-call,18.55,60,88,2025-12-19,2026-01-16,17.50,,0.482584,0.289661,0.263348,0.195376,greeks,greeks,,,,,,,,,0.294834,0.270477,,0.284488,0.25622,,greeks,greeks,greeks,greeks,,2025-10-23,19520.00,skipped,
2025-10-20T08:05:41.043422+00:00,AMCR,atm-call,8.14,60,88,2025-12-19,2026-01-16,8.00,0.5899,0.477921,0.309851,0.28186,0.209653,greeks,greeks,,,,,,,,,0.288297,0.269642,,0.331405,0.294079,,greeks,greeks,greeks,greeks,,2025-10-30,16210.00,skipped,
2025-10-20T08:05:41.043422+00:00,KVUE,atm-call,15.34,32,60,2025-11-21,2025-12-19,16.00,0.4755,0.474397,0.803008,0.6945,0.544635,greeks,greeks,,,,,,,,,0.78818,0.655154,,0.817835,0.733846,,greeks,greeks,greeks,greeks,,2025-11-06,135978.29,skipped,
2025-10-20T08:05:41.043422+00:00,PYPL,atm-call,68.00,32,88,2025-11-21,2026-01-16,69.00,0.4948,0.466748,0.512749,0.41638,0.349582,greeks,greeks,,,,,,,,,0.530184,0.437533,,0.495313,0.395227,,greeks,greeks,greeks,greeks,,2025-10-28,19330.54,skipped,
2025-10-20T08:05:41.043422+00:00,CSCO,atm-call,70.15,32,88,2025-11-21,2026-01-16,71.00,0.4766,0.454676,0.336489,0.274267,0.231315,greeks,greeks,,,,,,,,,0.350251,0.288828,,0.322726,0.259706,,greeks,greeks,greeks,greeks,,2025-11-12,15761.48,skipped,
2025-10-20T08:05:41.043422+00:00,CSCO,atm-call,70.15,32,60,2025-11-21,2025-12-19,71.00,0.4766,0.454587,0.336489,0.292163,0.231329,greeks,greeks,,,,,,,,,0.350251,0.309894,,0.322726,0.274432,,greeks,greeks,greeks,greeks,,2025-11-12,15761.48,skipped,
2025-10-20T08:05:41.043422+00:00,WBD,atm-call,18.23,32,88,2025-11-21,2026-01-16,18.50,0.5184,0.448837,0.713595,0.582703,0.49253,greeks,greeks,,,,,,,,,0.73918,0.615546,,0.68801,0.54986,,greeks,greeks,greeks,greeks,,2025-11-06,16915.52,skipped,
2025-10-20T08:05:41.043422+00:00,AMCR,atm-call,8.14,32,88,2025-11-21,2026-01-16,8.00,0.5901,0.444443,0.344697,0.28186,0.238637,greeks,greeks,,,,,,,,,0.391275,0.269642,,0.29812,0.294079,,greeks,greeks,greeks,greeks,,2025-10-30,16210.00,skipped,
2025-10-20T08:05:41.043422+00:00,WBD,atm-call,18.23,60,88,2025-12-19,2026-01-16,19.00,0.4944,0.432325,0.636953,0.582703,0.444699,greeks,greeks,,,,,,,,,0.668132,0.615546,,0.605774,0.54986,,greeks,greeks,greeks,greeks,,2025-11-06,16915.52,skipped,
2025-10-20T08:05:41.043422+00:00,CMCSA,atm-call,29.65,32,60,2025-11-21,2025-12-19,30.00,0.4828,0.425703,0.371077,0.324119,0.260277,greeks,greeks,,,,,,,,,0.388688,0.351099,,0.353466,0.297138,,greeks,greeks,greeks,greeks,,2025-10-30,27893.69,skipped,
2025-10-20T08:05:41.043422+00:00,GM,atm-call,58.31,32,88,2025-11-21,2026-01-16,59.00,0.4878,0.424254,0.410496,0.337843,0.288218,greeks,greeks,,,,,,,,,0.421298,0.354739,,0.399694,0.320947,,greeks,greeks,greeks,greeks,,2025-10-21,15811.99,skipped,
2025-10-20T08:05:41.043422+00:00,AMZN,atm-call,214.60,32,88,2025-11-21,2026-01-16,217.50,0.4871,0.420826,0.439685,0.36227,0.309457,greeks,greeks,,,,,,,,,0.455939,0.390011,,0.423431,0.33453,,greeks,greeks,greeks,greeks,,2025-10-30,76779.90,skipped,
2025-10-20T08:05:41.043422+00:00,GM,atm-call,58.31,32,60,2025-11-21,2025-12-19,59.00,0.4878,0.418125,0.410496,0.359127,0.289464,greeks,greeks,,,,,,,,,0.421298,0.369585,,0.399694,0.348669,,greeks,greeks,greeks,greeks,,2025-10-21,15811.99,skipped,
2025-10-20T08:05:41.043422+00:00,AMZN,atm-call,214.60,32,60,2025-11-21,2025-12-19,217.50,0.4871,0.411607,0.439685,0.385202,0.311478,greeks,greeks,,,,,,,,,0.455939,0.407127,,0.423431,0.363278,,greeks,greeks,greeks,greeks,,2025-10-30,76779.90,skipped,
2025-10-20T08:05:41.043422+00:00,WMT,atm-call,107.80,32,60,2025-11-21,2025-12-19,108.00,0.511,0.411107,0.297988,0.261092,0.211173,greeks,greeks,,,,,,,,,0.316605,0.276376,,0.279371,0.245808,,greeks,greeks,greeks,greeks,,2025-11-20,16373.28,skipped,
2025-10-20T08:05:41.043422+00:00,PLTR,atm-call,180.59,32,88,2025-11-21,2026-01-16,185.00,0.4983,0.395536,0.712314,0.591861,0.510423,greeks,greeks,,,,,,,,,0.728615,0.618251,,0.696014,0.56547,,greeks,greeks,greeks,greeks,,2025-11-03,25806.32,skipped,
2025-10-20T08:05:41.043422+00:00,LYB,atm-call,46.19,32,88,2025-11-21,2026-01-16,45.00,0.5932,0.395491,0.56974,0.473403,0.408272,greeks,greeks,,,,,,,,,0.574253,0.481563,,0.565226,0.465243,,greeks,greeks,greeks,greeks,,2025-10-31,14914.12,skipped,
2025-10-20T08:05:41.043422+00:00,F,atm-call,11.98,32,60,2025-11-21,2025-12-19,12.00,0.5145,0.391145,0.383222,0.33725,0.275472,greeks,greeks,,,,,,,,,0.349706,0.320273,,0.416737,0.354227,,greeks,greeks,greeks,greeks,,2025-10-23,239421.69,skipped,
2025-10-20T08:05:41.043422+00:00,F,atm-call,11.98,32,88,2025-11-21,2026-01-16,12.00,0.5145,0.388357,0.383222,0.319199,0.276025,greeks,greeks,,,,,,,,,0.349706,0.311858,,0.416737,0.326539,,greeks,greeks,greeks,greeks,,2025-10-23,239421.69,skipped,
2025-10-20T08:05:41.043422+00:00,PYPL,atm-call,68.00,32,60,2025-11-21,2025-12-19,69.00,0.4948,0.386668,0.512749,0.451693,0.36977,greeks,greeks,,,,,,,,,0.530184,0.473695,,0.495313,0.429691,,greeks,greeks,greeks,greeks,,2025-10-28,19330.54,skipped,
2025-10-20T08:05:41.043422+00:00,PYPL,atm-call,68.00,60,88,2025-12-19,2026-01-16,70.00,0.4785,0.376467,0.451693,0.41638,0.328154,greeks,greeks,,,,,,,,,0.473695,0.437533,,0.429691,0.395227,,greeks,greeks,greeks,greeks,,2025-10-28,19330.54,skipped,
2025-10-20T08:05:41.043422+00:00,GOOG,atm-call,255.11,32,60,2025-11-21,2025-12-19,257.50,0.4987,0.373159,0.425688,0.376157,0.310007,greeks,greeks,,,,,,,,,0.44179,0.396355,,0.409587,0.35596,,greeks,greeks,greeks,greeks,,2025-10-29,11535.71,skipped,
2025-10-20T08:05:41.043422+00:00,INTC,atm-call,37.63,32,88,2025-11-21,2026-01-16,38.50,0.5071,0.368486,0.769109,0.64506,0.562014,greeks,greeks,,,,,,,,,0.786755,0.673821,,0.751462,0.6163,,greeks,greeks,greeks,greeks,,2025-10-23,43891.14,skipped,
2025-10-20T08:05:41.043422+00:00,GOOGL,atm-call,254.66,32,60,2025-11-21,2025-12-19,257.50,0.4928,0.368066,0.425965,0.376847,0.311363,greeks,greeks,,,,,,,,,0.441786,0.39666,,0.410144,0.357033,,greeks,greeks,greeks,greeks,,2025-10-29,17534.16,skipped,
